times (s),mass (g),
305,0.13,
381,0.25,
437,0.38,
496,0.51,
540,0.65,
619,0.79,
673,0.92,
724,1.06,
769,1.21,
817,1.35,
875,1.51,
938,1.66,
1004,1.81,
1064,1.96,
1126,2.12,
1200,2.28,
1268,2.43,
1337,2.59,
1404,2.74,
1471,2.9,
1542,3.07,
1610,3.22,
1682,3.36,
1756,3.53,
1834,3.69,
1917,3.86,
1997,4.02,
2069,4.19,
2130,4.35,
2204,4.51,
2282,4.65,
2359,4.81,
2435,4.96,
2516,5.11,
2598,5.27,
2680,5.42,
2763,5.58,
2846,5.73,
2929,5.88,
3014,6.02,
3099,6.18,
3182,6.33,
3267,6.49,
3350,6.64,
3439,6.8,
3530,6.96,
3626,7.14,
3729,7.31,
3836,7.49,
3946,7.67,
4062,7.86,
4176,8.02,
4288,8.19,
4395,8.38,
4511,8.57,
4631,8.74,
4743,8.91,
4843,9.06,
4939,9.21,
5031,9.36,
5127,9.52,
5247,9.66,
5316,9.82,
5416,10,
5538,10.11,